Day	Time	Rs	Rn	PAR	Tair	RH	u	SatVapPr	VapPress	Battery	!water
92	450	-3,1044	-1,6117	0,54767	18,85	99,942	1,3116	2,1758	2,1746	12,534	0,068
64	1850	152,66	88,207	323,5	20,993	72,147	0,752	2,485	1,7924	12,611	0,3525
32	150	-0,13148	-19,436	-1,8378	16,174	95,66	0,37121	1,8374	1,7577	12,693	0,082
89	1800	218,23	77,449	459,37	18,815	59,589	0,64731	2,1714	1,2937	12,539	0,304
58	1200	718,12	472,11	1556,8	25,986	69,693	1,2468	3,3589	2,3394	12,631	0,7185
50	800	20,086	11,794	44,27	20,006	101,63	0,3008	2,3381	2,3762	12,646	0,0365
71	200	-0,14499	-21,638	0	10,351	98,841	0,16089	1,2562	1,2417	12,584	0,102
52	1000	78,269	49,581	160,83	21,995	99,533	0,32489	2,6421	2,6298	12,645	0,1575
63	450	-0,05905	-23,896	0,4809	13,361	102,33	0,03582	1,5326	1,5684	12,609	0,0795
97	1050	432,32	251,05	938,58	20,477	70,032	0,90858	2,4081	1,6858	12,508	0,6125
35	300	-0,10469	-23,947	0	12,328	94	0,13959	1,4323	1,3464	12,689	0,0625
81	500	-0,73009	-26,516	-0,87658	12,618	99,278	0,06825	1,4597	1,4492	12,557	0,1175
118	700	-0,02953	-23,4	-0,74276	11,501	95,46	0,11272	1,3564	1,2946	12,459	0,0675
79	1350	232,13	143,51	472,68	18,05	100,84	0,80203	2,0694	2,0869	12,561	0,4485
49	300	-0,14753	-8,9941	0,01825	19,33	102,06	0,03211	2,2419	2,2882	12,66	0,038
110	1000	154,82	96,261	327,92	19,319	96,832	0,11828	2,2409	2,1692	12,489	0,1245
46	300	-0,14485	-3,6406	-0,876	20,416	99,359	0,0071	2,398	2,3827	12,672	0,0785
72	1050	514,96	305,01	1120,5	21,796	68,846	0,41198	2,6105	1,797	12,572	0,7675
78	1150	414,67	263,52	903,72	22,222	68,511	1,1791	2,6832	1,8339	12,565	0,8095
49	1850	105,39	52,163	227,33	22,496	84,383	0,21463	2,724	2,2985	12,657	0,2125
72	2200	-0,54468	-21,688	-0,82148	16,794	95,913	0,36195	1,9118	1,8329	12,588	0,104
47	100	-0,03487	-11,965	-0,10342	18,244	98,283	0,01821	2,0947	2,0588	12,666	0,0815
61	450	-1,4811	-15,998	-0,93106	16,663	99,381	0,10345	1,8956	1,8839	12,62	0,058
95	950	79,102	43,061	163,07	15,122	85,192	0,1609	1,7178	1,4634	12,518	0,2895
53	1200	372,51	241,04	774,44	23,435	83,016	0,72143	2,8857	2,3909	12,651	0,7295
108	2200	0,0161	-2,2404	0,32872	15,388	100,78	0,13496	1,7473	1,761	12,491	0,0665
83	1050	278,51	170,61	592,62	17,493	101,6	0,19332	1,998	2,03	12,548	0,2815
52	1700	145,11	93,231	309,89	22,788	88,528	0,80203	2,7728	2,4542	12,644	0,3065
46	200	-0,52038	-1,1141	-1,4661	20,273	99,932	0,04416	2,377	2,3754	12,666	0,0615
63	1650	598,99	387,57	1268,6	23,471	60,383	1,6776	2,8901	1,7445	12,61	0,868
55	650	-1,481	-5,7178	-0,17645	18,139	99,228	0,09048	2,0809	2,0648	12,633	0,0575
83	1300	87,454	48,264	180,65	17,003	101,38	0,3008	1,9371	1,9637	12,547	0,2615
108	1150	220,08	138,18	453,22	17,127	96,164	0,38048	1,9523	1,8774	12,482	0,2445
65	1800	120,21	58,286	254,32	19,951	70,147	0,6121	2,3301	1,6344	12,612	0,368
118	1200	457,89	284,86	980,76	20,297	65,026	1,0142	2,381	1,5474	12,463	0,705
76	2300	-0,23084	-20,761	-1,8445	15,471	99,192	0,43143	1,7565	1,7424	12,575	0,078
110	1950	0,11805	-21,528	3,8942	16,905	96,879	0,03211	1,9251	1,865	12,482	0,0855
70	900	62,609	39,34	129,87	14,826	102,48	0,11828	1,6854	1,7272	12,584	0,0805
76	1100	349,52	217,29	746,96	19,686	77,326	1,1161	2,2926	1,7718	12,568	0,345
53	2000	15,792	3,3161	38,972	21,531	88,468	0,30358	2,5682	2,2719	12,651	0,111
70	1900	79,37	26,125	170,6	18,014	77,729	0,18406	2,0647	1,6046	12,593	0,218
105	2350	-0,20401	-21,579	-1,2175	11,225	96,225	0,07103	1,3317	1,2814	12,492	0,066
104	1600	321,43	193,25	712,45	20,339	63,063	0,80018	2,3875	1,5045	12,5	0,7095
49	2250	-0,03754	-8,3293	-2,9801	20,337	97,359	0,06454	2,3864	2,3235	12,651	0,086
118	1550	308,78	201,81	652,25	19,682	68,898	1,0976	2,2915	1,579	12,461	0,589
86	1300	576,53	360,48	1246,3	23,615	58,409	0,8706	2,9168	1,7015	12,538	0,9165
51	50	-0,11802	-1,1932	0,12775	20,392	101,8	0,78072	2,3945	2,4375	12,652	0,0585
60	1850	128,21	72,144	284,85	21,902	79,059	0,81037	2,6273	2,0769	12,623	0,2885
107	750	-0,0188	-5,1324	0,04872	11,644	99,348	0,00432	1,369	1,3601	12,479	0,066
110	1850	19,031	-16,567	65,018	18,511	91,798	0,25725	2,1304	1,9553	12,488	0,137
67	600	0,01878	-8,9966	0,00608	18,872	89,414	0,18869	2,1787	1,9481	12,6	0,13
75	1050	139,36	83,754	277,56	16,655	100,57	0,13125	1,8949	1,9058	12,568	0,487
54	1900	143,34	77,795	303,22	22,552	73,593	0,815	2,7346	2,0106	12,65	0,246
79	2300	-0,52881	-17,395	-0,79749	11,651	98,303	0,09048	1,3696	1,3464	12,564	0,088
87	2200	-0,07243	-8,5418	0,55973	18,842	90,487	0,37307	2,1751	1,9678	12,547	0,121
96	0	-0,09396	-22,837	-0,02435	12,961	95,745	0,3638	1,4929	1,4294	12,518	0,077
117	1300	351,45	213,94	713,15	17,787	69,232	0,93082	2,0356	1,4088	12,463	0,688
32	1700	686,63	426,78	1439,5	26,65	44,042	0,87615	3,4924	1,5378	12,714	0,8655
109	0	-0,18252	-5,2447	0,35307	15,631	101,41	0,10067	1,7747	1,7997	12,49	0,064
47	950	293,76	186,42	688,67	23,038	86,072	0,22112	2,818	2,4213	12,651	0,6185
50	2000	15,394	9,0766	31,407	19,894	101,67	0,94657	2,3219	2,3606	12,652	0,0485
119	500	-0,02416	-20,336	0,12175	15,871	88,004	0,49815	1,8023	1,586	12,457	0,073
117	200	-0,04026	-10,948	-0,07914	14,741	88,693	0,27022	1,6759	1,4864	12,465	0,1215
71	1500	817,52	535,93	1704,5	24,269	54,219	0,67696	3,0321	1,6435	12,584	0,8075
